"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 18 09:14:59 GMT 2025","Tue Feb 18 09:14:59 GMT 2025","14","","com.example.catalog.APItest.ArtistTest","","com.example.catalog.APItest.ArtistTest","testAddArtistThenDelete","testAddArtistThenDelete()",""
"passed","Tue Feb 18 09:14:59 GMT 2025","Tue Feb 18 09:14:59 GMT 2025","26","","com.example.catalog.APItest.AlbumTest","","com.example.catalog.APItest.AlbumTest","testAddAlbumThenUpdate","testAddAlbumThenUpdate()",""
"passed","Tue Feb 18 09:14:58 GMT 2025","Tue Feb 18 09:14:58 GMT 2025","6","","com.example.catalog.APItest.SongTest","","com.example.catalog.APItest.SongTest","testDeleteNonExistentSong","testDeleteNonExistentSong()",""
"passed","Tue Feb 18 09:14:58 GMT 2025","Tue Feb 18 09:14:58 GMT 2025","92","","com.example.catalog.APItest.SongTest","","com.example.catalog.APItest.SongTest","testAddSongThenDelete","testAddSongThenDelete()",""
"passed","Tue Feb 18 09:14:59 GMT 2025","Tue Feb 18 09:14:59 GMT 2025","15","","com.example.catalog.APItest.ArtistTest","","com.example.catalog.APItest.ArtistTest","testAddArtistThenUpdate","testAddArtistThenUpdate()",""
"passed","Tue Feb 18 09:14:59 GMT 2025","Tue Feb 18 09:14:59 GMT 2025","26","","com.example.catalog.APItest.AlbumTest","","com.example.catalog.APItest.AlbumTest","testAddAlbumThenDelete","testAddAlbumThenDelete()",""
"passed","Tue Feb 18 09:14:58 GMT 2025","Tue Feb 18 09:14:58 GMT 2025","141","","com.example.catalog.APItest.SongTest","","com.example.catalog.APItest.SongTest","testUpdateNonExistentSong","testUpdateNonExistentSong()",""
"passed","Tue Feb 18 09:14:59 GMT 2025","Tue Feb 18 09:14:59 GMT 2025","12","","com.example.catalog.APItest.ArtistTest","","com.example.catalog.APItest.ArtistTest","testDeleteArtist","testDeleteArtist()",""
"passed","Tue Feb 18 09:14:58 GMT 2025","Tue Feb 18 09:14:58 GMT 2025","56","","com.example.catalog.APItest.ArtistTest","","com.example.catalog.APItest.ArtistTest","testGetArtistById","testGetArtistById()",""
"passed","Tue Feb 18 09:14:59 GMT 2025","Tue Feb 18 09:14:59 GMT 2025","11","","com.example.catalog.APItest.ArtistTest","","com.example.catalog.APItest.ArtistTest","testAddArtist","testAddArtist()",""
"passed","Tue Feb 18 09:14:59 GMT 2025","Tue Feb 18 09:14:59 GMT 2025","35","","com.example.catalog.APItest.AlbumTest","","com.example.catalog.APItest.AlbumTest","testUpdateAlbum","testUpdateAlbum()",""
"passed","Tue Feb 18 09:14:58 GMT 2025","Tue Feb 18 09:14:59 GMT 2025","17","","com.example.catalog.APItest.ArtistTest","","com.example.catalog.APItest.ArtistTest","testGetAllArtists","testGetAllArtists()",""
"broken","Tue Feb 18 09:15:01 GMT 2025","Tue Feb 18 09:15:01 GMT 2025","32","","com.example.catalog.APItest.SpotifyAPIServiceTest","","com.example.catalog.APItest.SpotifyAPIServiceTest","getTracksByAlbum_Success","getTracksByAlbum_Success()",""
"broken","Tue Feb 18 09:14:59 GMT 2025","Tue Feb 18 09:15:01 GMT 2025","1906","","com.example.catalog.APItest.SpotifyAPIServiceTest","","com.example.catalog.APItest.SpotifyAPIServiceTest","getArtistById_Success","getArtistById_Success()",""
"broken","Tue Feb 18 09:15:01 GMT 2025","Tue Feb 18 09:15:01 GMT 2025","39","","com.example.catalog.APItest.SpotifyAPIServiceTest","","com.example.catalog.APItest.SpotifyAPIServiceTest","getAlbumById_Success","getAlbumById_Success()",""
"passed","Tue Feb 18 09:14:59 GMT 2025","Tue Feb 18 09:14:59 GMT 2025","39","","com.example.catalog.APItest.AlbumTest","","com.example.catalog.APItest.AlbumTest","testDeleteAlbum","testDeleteAlbum()",""
"passed","Tue Feb 18 09:14:59 GMT 2025","Tue Feb 18 09:14:59 GMT 2025","18","","com.example.catalog.APItest.ArtistTest","","com.example.catalog.APItest.ArtistTest","testUpdateArtist","testUpdateArtist()",""
"broken","Tue Feb 18 09:15:01 GMT 2025","Tue Feb 18 09:15:01 GMT 2025","32","","com.example.catalog.APItest.SpotifyAPIServiceTest","","com.example.catalog.APItest.SpotifyAPIServiceTest","getSongById_Success","getSongById_Success()",""
